Stkcd,year,IndustryName1
000002,2015,房地产业
000002,2016,房地产业
000002,2017,房地产业
000002,2018,房地产业
000002,2019,房地产业
000004,2015,医药制造业
000004,2016,医药制造业
000004,2017,医药制造业
000004,2018,医药制造业
000004,2019,医药制造业
000005,2015,房地产业
000005,2016,生态保护和环境治理业
000005,2017,生态保护和环境治理业
000005,2018,生态保护和环境治理业
000005,2019,生态保护和环境治理业
000006,2015,房地产业
000006,2016,房地产业
000006,2017,房地产业
000006,2018,房地产业
000006,2019,房地产业
000007,2015,住宿业
000007,2016,住宿业
000007,2017,房地产业
000007,2018,房地产业
000007,2019,房地产业
000008,2015,铁路、船舶、航空航天和其他运输设备制造业
000008,2016,铁路、船舶、航空航天和其他运输设备制造业
000008,2017,铁路、船舶、航空航天和其他运输设备制造业
000008,2018,铁路、船舶、航空航天和其他运输设备制造业
000008,2019,铁路、船舶、航空航天和其他运输设备制造业
000009,2015,综合
000009,2016,综合
000009,2017,综合
000009,2018,综合
000009,2019,综合
000010,2015,土木工程建筑业
000010,2016,土木工程建筑业
000010,2017,土木工程建筑业
000010,2018,土木工程建筑业
000010,2019,土木工程建筑业
000011,2015,房地产业
000011,2016,房地产业
000011,2017,房地产业
000011,2018,房地产业
000011,2019,房地产业
000012,2015,非金属矿物制品业
000012,2016,非金属矿物制品业
000012,2017,非金属矿物制品业
000012,2018,非金属矿物制品业
000012,2019,非金属矿物制品业
000014,2015,房地产业
000014,2016,房地产业
000014,2017,房地产业
000014,2018,房地产业
000014,2019,房地产业
000016,2015,计算机、通信和其他电子设备制造业
000016,2016,计算机、通信和其他电子设备制造业
000016,2017,计算机、通信和其他电子设备制造业
000016,2018,计算机、通信和其他电子设备制造业
000016,2019,计算机、通信和其他电子设备制造业
000017,2015,铁路、船舶、航空航天和其他运输设备制造业
000017,2016,铁路、船舶、航空航天和其他运输设备制造业
000017,2017,铁路、船舶、航空航天和其他运输设备制造业
000017,2018,铁路、船舶、航空航天和其他运输设备制造业
000017,2019,铁路、船舶、航空航天和其他运输设备制造业
000018,2015,纺织业
000018,2016,建筑装饰、装修和其他建筑业
000018,2017,建筑装饰、装修和其他建筑业
000018,2018,建筑装饰、装修和其他建筑业
000019,2015,酒、饮料和精制茶制造业
000019,2016,酒、饮料和精制茶制造业
000019,2017,酒、饮料和精制茶制造业
000019,2018,酒、饮料和精制茶制造业
000019,2019,批发业
000020,2015,计算机、通信和其他电子设备制造业
000020,2016,计算机、通信和其他电子设备制造业
000020,2017,计算机、通信和其他电子设备制造业
000020,2018,计算机、通信和其他电子设备制造业
000020,2019,计算机、通信和其他电子设备制造业
000021,2015,计算机、通信和其他电子设备制造业
000021,2016,计算机、通信和其他电子设备制造业
000021,2017,计算机、通信和其他电子设备制造业
000021,2018,计算机、通信和其他电子设备制造业
000021,2019,计算机、通信和其他电子设备制造业
000022,2015,水上运输业
000022,2016,水上运输业
000022,2017,水上运输业
000023,2015,非金属矿物制品业
000023,2016,非金属矿物制品业
000023,2017,非金属矿物制品业
000023,2018,非金属矿物制品业
000023,2019,非金属矿物制品业
000025,2015,批发业
000025,2016,批发业
000025,2017,批发业
000025,2018,批发业
000025,2019,批发业
000026,2015,零售业
000026,2016,零售业
000026,2017,零售业
000026,2018,零售业
000026,2019,零售业
000027,2015,电力、热力生产和供应业
000027,2016,电力、热力生产和供应业
000027,2017,电力、热力生产和供应业
000027,2018,电力、热力生产和供应业
000027,2019,电力、热力生产和供应业
000028,2015,批发业
000028,2016,批发业
000028,2017,批发业
000028,2018,批发业
000028,2019,批发业
000029,2015,房地产业
000029,2016,房地产业
000029,2017,房地产业
000029,2018,房地产业
000029,2019,房地产业
000030,2015,汽车制造业
000030,2016,汽车制造业
000030,2017,汽车制造业
000030,2018,汽车制造业
000030,2019,汽车制造业
000031,2015,房地产业
000031,2016,房地产业
000031,2017,房地产业
000031,2018,房地产业
000031,2019,房地产业
000032,2015,批发业
000032,2016,批发业
000032,2017,批发业
000032,2018,批发业
000032,2019,批发业
000033,2015,住宿业
000033,2016,住宿业
000034,2015,综合
000034,2016,批发业
000034,2017,批发业
000034,2018,批发业
000034,2019,批发业
000035,2015,生态保护和环境治理业
000035,2016,生态保护和环境治理业
000035,2017,生态保护和环境治理业
000035,2018,生态保护和环境治理业
000035,2019,生态保护和环境治理业
000036,2015,房地产业
000036,2016,房地产业
000036,2017,房地产业
000036,2018,房地产业
000036,2019,房地产业
000037,2015,电力、热力生产和供应业
000037,2016,电力、热力生产和供应业
000037,2017,电力、热力生产和供应业
000037,2018,电力、热力生产和供应业
000037,2019,电力、热力生产和供应业
000038,2015,房地产业
000038,2016,商务服务业
000038,2017,商务服务业
000038,2018,商务服务业
000038,2019,商务服务业
000039,2015,金属制品业
000039,2016,金属制品业
000039,2017,金属制品业
000039,2018,金属制品业
000039,2019,金属制品业
000040,2015,房地产业
000040,2016,房地产业
000040,2017,土木工程建筑业
000040,2018,电力、热力生产和供应业
000040,2019,电力、热力生产和供应业
000042,2015,房地产业
000042,2016,房地产业
000042,2017,房地产业
000042,2018,房地产业
000042,2019,房地产业
000043,2015,房地产业
000043,2016,房地产业
000043,2017,房地产业
000043,2018,房地产业
000045,2015,计算机、通信和其他电子设备制造业
000045,2016,计算机、通信和其他电子设备制造业
000045,2017,计算机、通信和其他电子设备制造业
000045,2018,计算机、通信和其他电子设备制造业
000045,2019,计算机、通信和其他电子设备制造业
000048,2015,农副食品加工业
000048,2016,农副食品加工业
000048,2017,农副食品加工业
000048,2018,农副食品加工业
000048,2019,农副食品加工业
000049,2015,电气机械和器材制造业
000049,2016,电气机械和器材制造业
000049,2017,电气机械和器材制造业
000049,2018,电气机械和器材制造业
000049,2019,电气机械和器材制造业
000050,2015,计算机、通信和其他电子设备制造业
000050,2016,计算机、通信和其他电子设备制造业
000050,2017,计算机、通信和其他电子设备制造业
000050,2018,计算机、通信和其他电子设备制造业
000050,2019,计算机、通信和其他电子设备制造业
000055,2015,金属制品业
000055,2016,金属制品业
000055,2017,金属制品业
000055,2018,金属制品业
000055,2019,金属制品业
000056,2015,房地产业
000056,2016,房地产业
000056,2017,房地产业
000056,2018,房地产业
000056,2019,商务服务业
000058,2015,商务服务业
000058,2016,商务服务业
000058,2017,商务服务业
000058,2018,商务服务业
000058,2019,商务服务业
000059,2015,石油、煤炭及其他燃料加工业
000059,2016,石油、煤炭及其他燃料加工业
000059,2017,石油、煤炭及其他燃料加工业
000059,2018,石油、煤炭及其他燃料加工业
000059,2019,石油、煤炭及其他燃料加工业
000060,2015,有色金属冶炼和压延加工业
000060,2016,有色金属冶炼和压延加工业
000060,2017,有色金属冶炼和压延加工业
000060,2018,有色金属冶炼和压延加工业
000060,2019,有色金属冶炼和压延加工业
000061,2015,商务服务业
000061,2016,商务服务业
000061,2017,商务服务业
000061,2018,商务服务业
000061,2019,商务服务业
000062,2015,商务服务业
000062,2016,商务服务业
000062,2017,批发业
000062,2018,批发业
000062,2019,批发业
000063,2015,计算机、通信和其他电子设备制造业
000063,2016,计算机、通信和其他电子设备制造业
000063,2017,计算机、通信和其他电子设备制造业
000063,2018,计算机、通信和其他电子设备制造业
000063,2019,计算机、通信和其他电子设备制造业
000065,2015,土木工程建筑业
000065,2016,土木工程建筑业
000065,2017,土木工程建筑业
000065,2018,土木工程建筑业
000065,2019,土木工程建筑业
000066,2015,计算机、通信和其他电子设备制造业
000066,2016,计算机、通信和其他电子设备制造业
000066,2017,计算机、通信和其他电子设备制造业
000066,2018,计算机、通信和其他电子设备制造业
000066,2019,计算机、通信和其他电子设备制造业
000068,2015,计算机、通信和其他电子设备制造业
000068,2016,计算机、通信和其他电子设备制造业
000068,2017,计算机、通信和其他电子设备制造业
000068,2018,计算机、通信和其他电子设备制造业
000068,2019,计算机、通信和其他电子设备制造业
000069,2015,公共设施管理业
000069,2016,公共设施管理业
000069,2017,公共设施管理业
000069,2018,房地产业
000069,2019,房地产业
000070,2015,电气机械和器材制造业
000070,2016,电气机械和器材制造业
000070,2017,电气机械和器材制造业
000070,2018,电气机械和器材制造业
000070,2019,电气机械和器材制造业
000078,2015,零售业
000078,2016,零售业
000078,2017,零售业
000078,2018,零售业
000078,2019,零售业
000088,2015,道路运输业
000088,2016,道路运输业
000088,2017,道路运输业
000088,2018,道路运输业
000088,2019,道路运输业
000089,2015,航空运输业
000089,2016,航空运输业
000089,2017,航空运输业
000089,2018,航空运输业
000089,2019,航空运输业
000090,2015,土木工程建筑业
000090,2016,土木工程建筑业
000090,2017,土木工程建筑业
000090,2018,土木工程建筑业
000090,2019,土木工程建筑业
000096,2015,批发业
000096,2016,批发业
000096,2017,批发业
000096,2018,批发业
000096,2019,批发业
000099,2015,航空运输业
000099,2016,航空运输业
000099,2017,航空运输业
000099,2018,航空运输业
000099,2019,航空运输业
000100,2015,计算机、通信和其他电子设备制造业
000100,2016,计算机、通信和其他电子设备制造业
000100,2017,计算机、通信和其他电子设备制造业
000100,2018,计算机、通信和其他电子设备制造业
000100,2019,计算机、通信和其他电子设备制造业
000150,2015,房地产业
000150,2016,卫生
000150,2017,卫生
000150,2018,卫生
000150,2019,卫生
000151,2015,批发业
000151,2016,批发业
000151,2017,批发业
000151,2018,批发业
000151,2019,批发业
000153,2015,医药制造业
000153,2016,医药制造业
000153,2017,医药制造业
000153,2018,医药制造业
000153,2019,医药制造业
000155,2015,化学原料和化学制品制造业
000155,2016,化学原料和化学制品制造业
000155,2017,化学原料和化学制品制造业
000155,2018,化学原料和化学制品制造业
000155,2019,化学原料和化学制品制造业
000156,2015,广播、电视、电影和录音制作业
000156,2016,广播、电视、电影和录音制作业
000156,2017,广播、电视、电影和录音制作业
000156,2018,广播、电视、电影和录音制作业
000156,2019,广播、电视、电影和录音制作业
000157,2015,专用设备制造业
000157,2016,专用设备制造业
000157,2017,专用设备制造业
000157,2018,专用设备制造业
000157,2019,专用设备制造业
000158,2015,纺织业
000158,2016,纺织业
000158,2017,纺织业
000158,2018,纺织业
000158,2019,软件和信息技术服务业
000159,2015,批发业
000159,2016,批发业
000159,2017,批发业
000159,2018,批发业
000159,2019,批发业
000301,2015,电力、热力生产和供应业
000301,2016,电力、热力生产和供应业
000301,2017,电力、热力生产和供应业
000301,2018,化学纤维制造业
000301,2019,化学纤维制造业
000333,2015,电气机械和器材制造业
000333,2016,电气机械和器材制造业
000333,2017,电气机械和器材制造业
000333,2018,电气机械和器材制造业
000333,2019,电气机械和器材制造业
000338,2015,汽车制造业
000338,2016,汽车制造业
000338,2017,汽车制造业
