,F010101A,F010201A,F010401A,F010701B,F010801B,F011201A,F080501A,F080601A,F081001B,F081101B,F081201B,F081601B,F082201B,F082701A,F060101B,F060301B,F050101B,F050201B,F050301B,F050401B,F050501B,F050901B,F053201B,F053301B,F051301B,F051701B,F053401B,F052101B,F053202B,F040101B,F040201B,F040401B,F040501B,F040801B,F041201B,F041401B,F041701B,F041801B,F070101B,F070201B,InternationalBig4,TotalAuditFee,ContrshrProportion,Mngmhldn,Boardsize,IndDirectorRatio,SupervisorSize,Y0301b,Y0501b,ChairmanHoldsharesRatio,ManagerHoldsharesRatio,Y1001b,LargestHolderRate,TopTenHoldersRate,IsDisclosingEvaRep,IsValid,IsDeficiency
F010101A,1.0,0.9830023910744874,0.8077163325716997,0.0015723403129965451,0.2026038452382221,-0.13223988261778563,-0.002906423572404351,0.11141788382067538,0.006081876829884824,0.003049605981103147,0.005529649208909404,-0.0009946795385391762,-0.0030953365437613335,0.05049271806152932,-0.009892648318757465,-0.06452023922894168,0.035561384921662886,0.044536589476736915,0.025388251226697637,0.002966040883935145,0.015735986274394327,0.013575406833694103,0.01797724795379679,0.253087386445325,-0.2530873864453245,0.08010820375975826,0.0640687580696476,0.10218009865933868,-0.0008015833579329025,0.017516686463050428,-0.0029937891280356456,0.052949965949651644,-0.003000961079989614,-0.0017217981930714448,-0.23909739343010247,0.009772801261408583,-0.13293022465006601,-0.045538870098840105,-0.0157414905219711,-0.0005562519146221396,0.0344186546385853,-0.08729713939840353,0.0400398281120088,0.19850959705041185,-0.10628227227780253,0.01622453553861709,-0.10038084462735078,0.08086987908872224,-0.05688485077453987,0.16382933589744095,0.15586921255263064,-0.11138613560973103,-0.008039815515435473,0.09829598834942102,-0.013046895218463367,-0.03391912998868796,0.07869970978830303
F010201A,0.9830023910744874,1.0,0.828771866542093,0.0011746593677364593,0.2323243453829389,-0.12943073577089145,-0.0027828221536555058,0.12136045514299394,0.005440999804737611,0.00324916009734641,0.004914481616140572,-0.0005517213675339688,-0.0029920473548459736,0.05436295944850947,-0.008025884697662742,-0.07140218497216698,0.03275352992721597,0.04161715872174548,0.02363882649106272,0.001863706567714323,0.01429004613582448,0.013942286558171283,0.016806242871079645,0.2603055393107029,-0.2603055393107025,0.08849359353122718,0.07091307900208653,0.10596005066901967,-0.0005583667250814664,0.026350690115686883,-0.003234984506012243,0.04069381140495275,-0.0015986392282313616,-0.0009500543275128864,-0.23255266634695587,0.009714779641980033,-0.1381911424658089,-0.044173125793958656,-0.016275661675018337,-1.5319036453433825e-05,0.02959452273960518,-0.08359231945057806,0.037331472574302596,0.20258218459256488,-0.10526366251541085,0.017003595593934204,-0.09815546133795572,0.08528233962976953,-0.057563885393026044,0.16838890407249174,0.16052690628723035,-0.11337633556207746,-0.010905338732412404,0.10064478850843393,-0.014015042105576695,-0.029688371081086608,0.07548086538098531
F010401A,0.8077163325716997,0.828771866542093,1.0,0.00021809957386560586,0.25536837991852446,-0.10788868470461659,-0.0020803409874352806,0.12629783326502825,0.008117326559302274,0.003406966192034436,0.00470113270934783,0.0013360349359781392,-0.0023794965363249,0.07277106831235437,-0.0020778734281290596,-0.09726433934161069,0.026498270209710455,0.03452606095880758,0.020996932245740167,0.005024659235687555,0.012778107948323928,0.009588781143454368,0.014460921302368855,0.24177671022747818,-0.24177671022747757,0.09786328334816671,0.09779458829829536,0.09863551293470843,-0.001573681184280373,-0.01456652931608969,-0.0014080576742182863,0.06949074642937364,-0.0016734908054371936,-0.0006457408512304037,-0.1846037003402888,0.01397377058386741,-0.12661698406270663,-0.037978048826296525,-0.015183306906672236,0.000291666303614707,0.01250152033713124,-0.062406045823254395,0.038913115187040936,0.14922098262898587,-0.06942979668099723,0.013375476071256505,-0.06121320483637925,0.05687686217058863,-0.03841347114008076,0.1235819844061461,0.11850210207508825,-0.08279801041967069,0.00614142606023072,0.09609115402002884,-0.0061705925974531745,-0.03233066254492674,0.05484273538233587
F010701B,0.0015723403129965451,0.0011746593677364593,0.00021809957386560586,1.0,0.008945062597326957,-0.005717931710675687,-0.0001484256163038255,0.0022059207951857797,0.0008980030192977912,0.0004901273765674506,0.0012865982545728427,-0.00011115660898198254,-0.00013882563054135201,0.0007639991769196275,-0.0005203826058541456,0.001040618337791128,0.012997578679196969,0.012558686502138827,0.012771293456327057,0.0012480562322629886,0.0028006374051992894,-0.0007803937495182091,0.005495617568188236,0.009305863829573224,-0.00930586382957323,-0.0009535858241922325,-0.0010322897031933916,0.012991197044750503,-0.00027662005786201216,-0.0034980729585891985,-0.0001502249448018024,-0.0018426947861196205,-0.00023152336276136497,-0.0004844952591257385,6.148048853865849e-05,0.0008767567622792467,0.0016848425415133441,-0.0011170808768376124,-0.0006989155865406114,-0.0003315273865754522,0.003387677743875815,-0.002345869541312929,-0.0017957430318468475,-0.0017411234155137116,-0.008232621867653032,-0.00837935606225443,-0.006388569956239418,0.0002178811908100625,0.003254038386995634,-0.00155033840567122,-0.0009510047156042437,0.0038004432618871107,-0.002601801493763845,0.004276785981131241,-0.0025992342208534533,-0.0021615659173560516,0.007382473465820741
F010801B,0.2026038452382221,0.2323243453829389,0.25536837991852446,0.008945062597326957,1.0,-0.07043720515944506,-0.0012946875734135214,0.01851304144903706,0.007715648595263705,0.0038570395613624774,0.0046063148074158055,-0.001203338020192745,-0.0013423529794251896,-0.004868861256176652,0.021412260159531047,0.030065443515304845,0.10950210214552046,0.10365686639222856,0.0814571181300551,0.01193365311303372,0.03007201124816302,-0.0009082112613501996,0.036438333141752245,0.2451702576644981,-0.2451702576644981,-0.03690817855104657,-0.027424529300307626,0.15640903690650557,-0.004019195603040326,-0.07476406886850191,0.004196927117688976,-0.053034552510646905,-0.0012217343340170485,-0.005058963310436521,0.04688418331582107,-0.032195754799192525,0.01679497311216098,-0.02013939363623321,-0.011178436800512316,-0.002211554399387378,-0.00815576314842591,-0.019143953207598458,0.07768542289018818,0.044078873207967495,0.015525997774743226,-0.01528676703749717,-0.029698352885371124,0.05618834852785952,-0.04332385978117433,0.03651823852854166,0.033735401349671,0.004599580990275202,0.057259754138579644,0.10737552184654954,-0.002044334009816328,-0.05052080207500371,0.06931297712899874
F011201A,-0.13223988261778563,-0.12943073577089145,-0.10788868470461659,-0.005717931710675687,-0.07043720515944506,1.0,0.0017295577279744267,-0.026385630558381622,-0.004482367877906099,-0.0010316530350150256,-0.002578425570044919,0.000429670189493551,0.001815632874185816,-0.044126580938289466,0.0009169879983856099,0.0025285845362878604,-0.6523322812882475,-0.6638044039613091,-0.5070842705224048,-0.08635687968071828,-0.013629827288516933,-0.0038549483948759865,-0.14489696037446684,-0.17434949466123906,0.1743494946612388,-0.0031373966894360267,-0.002344398899374149,-0.13245942719519585,0.0005097334241973362,0.020790175619848222,-0.0011795097367617935,0.0059860522682805666,2.7969809486950546e-05,0.0028104389045745166,0.036606092318788405,0.003209991892717114,0.021494049115543,0.0266178189924643,0.006050318684272993,-0.001228682688822738,-0.012755725473688998,0.03615150698195443,-0.01624232843163747,-0.06442543532158455,0.0178255990223159,0.002856661636457856,0.038440474359304366,-0.03589955958230075,0.019131361106605,-0.05466728717515137,-0.04580166129383925,0.02974638123037971,2.2327656551990903e-05,-0.03699379634671748,0.004139946437322756,0.06721158076926301,-0.04071959063168702
F080501A,-0.002906423572404351,-0.0027828221536555058,-0.0020803409874352806,-0.0001484256163038255,-0.0012946875734135214,0.0017295577279744267,1.0,0.5789017059234476,9.29458027794812e-05,0.00010343953835432662,0.00025217679928232984,7.526335299994905e-06,0.9996476528663931,0.0007180829506559993,9.998152051475801e-05,5.321040808542638e-05,-0.00015246571188764216,-7.600532613398665e-05,0.0002027512351846076,7.440698639075852e-05,0.0008632002889255311,2.2172569081061033e-05,0.0011294481993996293,-0.0013672156327148145,0.0013672156327147683,-9.873583078335394e-05,-4.225338902285614e-05,0.00026400376147483437,-4.3956038041685264e-05,-0.0011164023654596596,-4.990250311876699e-05,8.016271682356998e-05,-7.243464446562746e-05,-6.49404502541603e-05,-0.002726266269607208,-0.0003462447041886946,-0.004041698783656779,0.0007757082002267893,-5.9874738533024425e-05,-9.217790124872292e-05,0.001494177343709407,-0.001185356710835177,-0.0032017792690074496,-0.003095179309689292,-7.675490087683368e-05,-0.0008283661862149421,-0.0025838675076259956,-0.004159980269043981,0.004536782391755349,-0.003302657438600115,-0.002514417952278326,0.003456537857794755,-0.0027493525399364654,-0.003987629727760348,-0.00105537884402668,-0.0007208092455937,-0.0036699442312237824
F080601A,0.11141788382067538,0.12136045514299394,0.12629783326502825,0.0022059207951857797,0.01851304144903706,-0.026385630558381622,0.5789017059234476,1.0,-0.006967057106820235,0.00852389109107654,0.020019406712382695,0.0030670349632833027,0.5771887753588919,0.3468141470629752,-0.007824507906419087,-0.017961904026424107,0.04855238037434847,0.05088971850122684,0.039381565397298424,0.025600789078834126,0.021808839864596502,0.002170231507378848,0.03224241952764345,0.06544306852128598,-0.06544306852128608,0.011282021860515381,0.018249931140640805,0.07025404340733288,-0.002235497975680248,0.0029738734843872063,-0.0007139368024879023,0.011293885264196396,-0.0017319095880214516,-0.003739064508398773,-0.06377412902118712,-0.0010542430488329204,-0.04059816025699399,-0.009016783951822845,-0.004137930769103534,-0.001569811083153795,0.0002871838760845315,-0.01762873693709303,0.01008094084982803,0.09231004276389194,-0.028313988468767523,-0.0015259237381717516,-0.03640678556662785,0.0756626529290539,-0.02731043023720668,0.07976689320993591,0.07368213706687782,-0.054094095541752964,-0.005930782216683097,0.08205834102113058,0.009834179196084711,-0.034139797621940804,0.04223071383679772
F081001B,0.006081876829884824,0.005440999804737611,0.008117326559302274,0.0008980030192977912,0.007715648595263705,-0.004482367877906099,9.29458027794812e-05,-0.006967057106820235,1.0,0.015698814166220213,0.06081719912414591,0.0009348463470529228,8.818891198935802e-05,-0.0008472329842067541,-0.0007681223680668673,-6.318984831845405e-05,0.019180831876878753,0.019137776358800564,0.01563687254093085,0.004643381644655846,0.009658115408628123,0.0001967074832383771,0.010578458586229666,0.016524493874832007,-0.01652449387483206,0.0002501983199699496,9.520422737424509e-05,0.04392143254148797,6.99253707496898e-05,-0.015045290723127536,0.00010996048621116634,-0.00014867066163422597,0.0002045591327391774,7.318054165918185e-05,0.0036071688932522495,0.00025744653049476865,0.005866996103248194,-0.0003702790142492623,0.000373540682542613,6.081787369396458e-05,-0.004527406248869788,0.001501897570709692,0.014164335907803683,0.0024795813825490803,0.008815628307944745,-0.011782642499567883,0.0016504884882077016,0.00278769801619534,0.00032295679139339315,0.002629821972812925,0.0017676577113303626,-0.0013179956929877496,0.011996400072403155,0.011919302061233083,0.0012072429063250008,-0.030695235236190332,0.013445755235049614
F081101B,0.003049605981103147,0.00324916009734641,0.003406966192034436,0.0004901273765674506,0.0038570395613624774,-0.0010316530350150256,0.00010343953835432662,0.00852389109107654,0.015698814166220213,1.0,0.19121713472382385,0.0003919732045057937,5.801491024450609e-05,0.0017655817748027335,0.00043117927536590343,-5.304943182823412e-05,0.01486174874103284,0.015075961488031355,0.011677866985617834,0.004178164895402019,0.004900864219598451,0.01464812233112511,0.006589744303504053,-0.005024868726480517,0.005024868726480508,0.00013974196755605888,5.427056405839305e-05,0.03868770431662369,4.55450604489014e-05,-0.005314347406069034,5.443398383066856e-05,-0.0006405361126119385,5.982511598586999e-05,6.814885361982904e-05,0.0037341326975596305,-0.0001559832101624048,0.0038279076543830943,0.00027672623724108965,-0.0040767393270621215,0.0001180460739873061,-0.0025013907818904834,0.001426463560604675,0.000962149029724813,-0.0046254518116959,0.0019156521601908097,0.0015100898131019318,0.0007016889111652115,0.00792505310531799,1.5375149275951623e-05,-0.00855099125398586,0.001953561738017664,-0.002164095293967441,0.0007459554776820073,0.003272629826015402,-0.0008427254886018638,-0.003141404771417748,0.010866076352832842
