,count,missing,missing_rate,mean,std,min,25%,50%,75%,max
F010101A,47362.0,966,2.0,2.6617,3.239,0.0059,1.2179,1.7757,2.9152,143.9952
F010201A,47362.0,966,2.0,2.1714,2.9671,0.0053,0.8514,1.3414,2.3576,97.0892
F010401A,47355.0,973,2.01,0.8974,1.7417,0.0,0.19,0.4077,0.9116,70.41
F010701B,31876.0,16452,34.04,97.8993,3521.9724,-19874.9473,2.1679,6.5706,19.3641,401556.7008
F010801B,47356.0,972,2.01,0.2695,0.6517,-57.0362,0.0324,0.1704,0.3935,22.812
F011201A,47362.0,966,2.0,0.4266,0.922,0.0059,0.2535,0.4029,0.5586,178.3455
F080501A,40471.0,7857,16.26,3.6213,453.9903,-1.0,-0.0505,0.0258,0.2051,64559.3005
F080601A,40480.0,7848,16.24,0.2,0.8798,-0.9725,0.0007,0.0845,0.2241,72.5214
F081001B,32173.0,16155,33.43,-2.9631,168.6339,-19115.2036,-0.6991,-0.1341,0.521,10963.2226
F081101B,32325.0,16003,33.11,-5.726,507.8542,-80733.0016,-0.7026,-0.1523,0.5026,6246.2637
F081201B,31851.0,16477,34.09,-1.8523,105.8912,-11745.8351,-0.7237,-0.1511,0.4893,2105.5266
F081601B,38838.0,9490,19.64,2.6137,305.5291,-41.576,-0.043,0.1193,0.4022,59411.5489
F082201B,26253.0,22075,45.68,19640.3771,2249384.8262,-2950.5558,-0.6379,0.2036,1.9558,257719045.84
F082701A,40306.0,8022,16.6,0.2381,5.3886,-223.7528,0.0104,0.0676,0.1858,802.4311
F060101B,42163.0,6165,12.76,1.8713,43.4159,-1640.0515,0.4356,1.054,1.8084,6885.1244
F060301B,48291.0,37,0.08,-1.1328,176.3932,-37490.8049,0.0209,0.0955,0.1848,16.8634
F050101B,47362.0,966,2.0,0.0559,0.3538,-48.3066,0.0275,0.0584,0.1019,9.3502
F050201B,47362.0,966,2.0,0.0399,0.3572,-48.3159,0.0158,0.0458,0.085,8.4414
F050301B,47362.0,966,2.0,0.0631,0.8852,-160.565,0.028,0.0801,0.1494,19.4784
F050401B,47354.0,974,2.02,-3.054,450.0386,-72233.4636,0.0775,0.2791,0.7209,8959.1384
F050501B,47087.0,1241,2.57,0.0279,2.3587,-207.3971,0.0325,0.0815,0.1413,281.9892
F050901B,41434.0,6894,14.27,0.8582,1.1535,-90.8102,0.8021,0.8596,0.8985,114.1406
F053201B,39417.0,8911,18.44,0.0655,0.9826,-159.1054,0.0373,0.083,0.1397,35.5722
F053301B,47331.0,997,2.06,0.3087,0.2209,-20.8284,0.1803,0.2809,0.4067,1.1543
F051301B,47331.0,997,2.06,0.6913,0.2209,-0.1543,0.5933,0.7191,0.8197,21.8284
F051701B,47336.0,992,2.05,0.1128,4.4736,0.0,0.0182,0.0407,0.0891,768.4057
F053401B,30676.0,17652,36.53,2.1269,244.6948,0.0,0.0235,0.041,0.066,41693.7936
F052101B,47327.0,1001,2.07,0.1165,0.7084,-120.9422,0.0364,0.1077,0.2122,16.3181
F053202B,36154.0,12174,25.19,7948.2247,1360664.145,-93459.8,0.0057,0.05,0.1687,258124045.0
F040101B,47333.0,995,2.06,0.2878,0.6237,0.0,0.0972,0.212,0.3663,82.7853
F040201B,46960.0,1368,2.83,829.1842,115529.8341,-0.4716,2.7166,4.6788,9.9895,24717672.8508
F040401B,47333.0,995,2.06,0.4079,4.6656,0.0,0.0995,0.1811,0.3106,832.1452
F040501B,46620.0,1708,3.53,371.6484,35895.5726,-0.0031,1.976,3.6126,6.8835,7287061.2278
F040801B,47092.0,1236,2.56,35.5382,3768.6185,-0.0297,2.621,4.2696,7.3624,803437.0046
F041201B,47335.0,993,2.05,1.2007,1.0068,-0.0797,0.6292,0.9693,1.4628,24.1919
F041401B,47328.0,1000,2.07,26.4657,506.2228,-8.2672,1.8456,3.4814,7.5507,66182.1876
F041701B,47335.0,993,2.05,0.6483,0.5182,-0.0583,0.3586,0.5486,0.7962,13.9135
F041801B,47063.0,1265,2.62,1.5208,9.5741,-0.8418,0.5801,0.9611,1.5754,1859.6607
F070101B,41434.0,6894,14.27,1.3948,12.1392,-81.3443,0.9826,1.04,1.2021,2402.7736
F070201B,41814.0,6514,13.48,1.9431,47.4146,0.9336,1.1443,1.2899,1.5916,9607.3037
InternationalBig4,38032.0,10296,21.3,1.9413,0.235,1.0,2.0,2.0,2.0,2.0
TotalAuditFee,37966.0,10362,21.44,1559573.2661,3300872.3992,100000.0,700000.0,1000000.0,1560000.0,266990000.0
ContrshrProportion,36597.0,11731,24.27,35.2861,15.1039,0.0044,23.94,33.42,45.26,89.99
Mngmhldn,36469.0,11859,24.54,14.9806,19.9804,0.0,0.0037,2.3217,28.2801,89.99
Boardsize,37505.0,10823,22.39,8.3324,1.6416,0.0,7.0,9.0,9.0,18.0
IndDirectorRatio,37502.0,10826,22.4,37.8613,5.6037,14.29,33.33,36.36,42.86,80.0
SupervisorSize,37505.0,10823,22.39,3.4096,0.9591,0.0,3.0,3.0,3.0,12.0
Y0301b,38029.0,10299,21.31,1.7152,0.4513,1.0,1.0,2.0,2.0,2.0
Y0501b,38032.0,10296,21.3,2.2315,0.4864,1.0,2.0,2.0,3.0,3.0
ChairmanHoldsharesRatio,36294.0,12034,24.9,10.1823,15.053,0.0,0.0,0.22,18.36,99.04
ManagerHoldsharesRatio,35753.0,12575,26.02,6.5449,12.6476,0.0,0.0,0.04,6.42,98.47
Y1001b,36949.0,11379,23.55,1.6763,0.4679,1.0,1.0,2.0,2.0,2.0
LargestHolderRate,38032.0,10296,21.3,33.2576,14.9741,0.29,21.75,30.75,42.86,100.0
TopTenHoldersRate,38032.0,10296,21.3,58.8649,15.9403,1.32,47.46,59.55,70.83,101.16
IsDisclosingEvaRep,37690.0,10638,22.01,1.029,0.1678,1.0,1.0,1.0,1.0,2.0
IsValid,36589.0,11739,24.29,1.0134,0.1152,1.0,1.0,1.0,1.0,2.0
IsDeficiency,36591.0,11737,24.29,1.6687,0.4707,1.0,1.0,2.0,2.0,2.0
TextualSimilarity,34987.0,13341,27.61,95.3566,4.5085,9.99,94.48,96.73,97.96,99.85
PositiveVocabularyNum,37936.0,10392,21.5,1064.135,598.7185,3.0,647.0,925.0,1336.25,9680.0
NegativeVocabularyNum,37936.0,10392,21.5,367.4862,208.0526,1.0,224.0,319.0,458.0,4491.0
EmotionTone1,37936.0,10392,21.5,0.0813,0.022,-0.0161,0.0668,0.0805,0.0953,0.1926
EmotionTone2,37936.0,10392,21.5,0.4794,0.1056,-0.1024,0.4171,0.4876,0.552,0.8229
PosRatio,37936.0,10392,21.5,0.1257,0.0223,0.0039,0.1108,0.1264,0.1405,0.2326
NegRatio,37936.0,10392,21.5,0.0444,0.0121,0.0005,0.0368,0.0438,0.0513,0.1269
SentLenAvg,37936.0,10392,21.5,47.8912,6.3387,35.0652,43.7035,47.2891,51.1859,71.7799
SentLenStd,37936.0,10392,21.5,38.7023,13.2635,25.6715,32.4427,36.1106,40.7185,126.7122
ComplexWordRatio,37936.0,10392,21.5,0.0782,0.0139,0.0166,0.0692,0.0771,0.086,0.3458
DigitDensity,37936.0,10392,21.5,0.1462,0.0398,0.0085,0.1201,0.1449,0.1714,0.4357
PuncDensity,37936.0,10392,21.5,0.0847,0.0097,0.0204,0.0778,0.0839,0.0915,0.2828
TTR,37936.0,10392,21.5,0.3059,0.0598,0.1001,0.2645,0.3037,0.3451,0.9091
Jaccard_prev,34984.0,13344,27.61,0.4596,0.0961,0.0105,0.3964,0.4531,0.5181,0.8606
EditSim_prev,34984.0,13344,27.61,0.197,0.1812,0.0178,0.0608,0.128,0.2832,0.8559
TFIDF_Cosine_prev,34984.0,13344,27.61,0.755,0.1252,0.063,0.692,0.7761,0.8437,0.9901
DLUT_PosNum,37936.0,10392,21.5,210.122,117.6873,0.0,123.0,188.0,275.0,1117.0
DLUT_NegNum,37936.0,10392,21.5,31.6929,17.6685,0.0,20.0,28.0,39.0,284.0
DLUT_PosRatio,37936.0,10392,21.5,0.0257,0.0094,0.0,0.0193,0.0251,0.0314,0.082
DLUT_NegRatio,37936.0,10392,21.5,0.0041,0.0019,0.0,0.0029,0.0039,0.0051,0.0215
DLUT_PosIntensity,37935.0,10393,21.51,4.7631,0.267,3.0,4.6069,4.7669,4.9208,7.2857
DLUT_NegIntensity,37910.0,10418,21.56,4.7218,0.4818,1.0,4.4762,4.7663,5.0,7.0
DLUT_EmotionScore,37936.0,10392,21.5,0.1363,0.0568,-0.0963,0.0974,0.1315,0.1688,0.501
DLUT_EmotionTone,37935.0,10393,21.51,0.7074,0.1387,-0.6818,0.6418,0.7329,0.8028,1.0
DLUT_NegAfterNeg,37936.0,10392,21.5,0.0003,0.0004,0.0,0.0,0.0001,0.0004,0.0102
DLUT_PosAfterNeg,37936.0,10392,21.5,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0044
