IndustryName1,N,Fraud,NonFraud,FraudRate(%)
计算机、通信和其他电子设备制造业,1566,188,1378,12.01
化学原料和化学制品制造业,1112,99,1013,8.9
电气机械和器材制造业,1053,139,914,13.2
医药制造业,990,115,875,11.62
专用设备制造业,970,109,861,11.24
软件和信息技术服务业,858,100,758,11.66
房地产业,620,42,578,6.77
通用设备制造业,616,49,567,7.95
汽车制造业,564,45,519,7.98
零售业,435,33,402,7.59
非金属矿物制品业,419,51,368,12.17
批发业,362,56,306,15.47
橡胶和塑料制品业,340,32,308,9.41
电力、热力生产和供应业,332,19,313,5.72
有色金属冶炼和压延加工业,325,37,288,11.38
土木工程建筑业,312,37,275,11.86
金属制品业,284,20,264,7.04
互联网和相关服务,228,61,167,26.75
农副食品加工业,219,25,194,11.42
铁路、船舶、航空航天和其他运输设备制造业,215,23,192,10.7
仪器仪表制造业,215,9,206,4.19
食品制造业,209,19,190,9.09
酒、饮料和精制茶制造业,207,21,186,10.14
商务服务业,206,39,167,18.93
纺织业,200,23,177,11.5
专业技术服务业,176,17,159,9.66
纺织服装、服饰业,176,20,156,11.36
道路运输业,168,5,163,2.98
黑色金属冶炼和压延加工业,156,10,146,6.41
造纸和纸制品业,140,10,130,7.14
水上运输业,140,3,137,2.14
建筑装饰、装修和其他建筑业,133,24,109,18.05
煤炭开采和洗选业,131,9,122,6.87
生态保护和环境治理业,128,17,111,13.28
有色金属矿采选业,115,17,98,14.78
化学纤维制造业,114,7,107,6.14
综合,113,17,96,15.04
新闻和出版业,112,10,102,8.93
广播、电视、电影和录音制作业,108,11,97,10.19
燃气生产和供应业,101,2,99,1.98
其他制造业,98,24,74,24.49
家具制造业,94,6,88,6.38
石油、煤炭及其他燃料加工业,87,10,77,11.49
公共设施管理业,83,2,81,2.41
农业,76,11,65,14.47
开采专业及辅助性活动,75,9,66,12.0
电信、广播电视和卫星传输服务,74,22,52,29.73
水的生产和供应业,73,4,69,5.48
畜牧业,67,6,61,8.96
文教、工美、体育和娱乐用品制造业,65,1,64,1.54
航空运输业,59,1,58,1.69
印刷和记录媒介复制业,56,4,52,7.14
皮革、毛皮、羽毛及其制品和制鞋业,50,6,44,12.0
渔业,43,12,31,27.91
装卸搬运和仓储业,42,12,30,28.57
卫生,42,2,40,4.76
木材加工和木、竹、藤、棕、草制品业,42,10,32,23.81
文化艺术业,36,6,30,16.67
住宿业,34,1,33,2.94
多式联运和运输代理业,30,3,27,10.0
黑色金属矿采选业,28,3,25,10.71
石油和天然气开采业,24,0,24,0.0
研究和试验发展,23,0,23,0.0
废弃资源综合利用业,21,7,14,33.33
林业,21,2,19,9.52
铁路运输业,20,1,19,5.0
教育,18,2,16,11.11
租赁业,17,7,10,41.18
餐饮业,16,0,16,0.0
邮政业,15,0,15,0.0
房屋建筑业,8,0,8,0.0
农、林、牧、渔专业及辅助性活动,6,0,6,0.0
建筑安装业,4,0,4,0.0
机动车、电子产品和日用产品修理业,3,0,3,0.0
非金属矿采选业,3,0,3,0.0
体育,3,0,3,0.0
科技推广和应用服务业,2,0,2,0.0
其他金融业,1,0,1,0.0
