IndustryName1,P2501,P2502,P2503,P2506,Total
计算机、通信和其他电子设备制造业,29,1,145,13,188
电气机械和器材制造业,11,0,124,4,139
医药制造业,15,0,93,7,115
专用设备制造业,15,0,82,12,109
软件和信息技术服务业,11,0,85,4,100
化学原料和化学制品制造业,21,0,71,7,99
互联网和相关服务,10,6,45,0,61
批发业,13,0,40,3,56
非金属矿物制品业,7,3,38,3,51
通用设备制造业,10,0,37,2,49
汽车制造业,4,0,38,3,45
房地产业,13,0,27,2,42
商务服务业,8,0,28,3,39
有色金属冶炼和压延加工业,5,0,29,3,37
土木工程建筑业,4,0,31,2,37
零售业,5,0,26,2,33
橡胶和塑料制品业,3,0,27,2,32
农副食品加工业,1,3,21,0,25
建筑装饰、装修和其他建筑业,8,0,16,0,24
其他制造业,7,0,16,1,24
纺织业,1,0,21,1,23
铁路、船舶、航空航天和其他运输设备制造业,6,2,13,2,23
电信、广播电视和卫星传输服务,3,0,19,0,22
酒、饮料和精制茶制造业,2,1,17,1,21
纺织服装、服饰业,2,0,18,0,20
金属制品业,0,0,19,1,20
电力、热力生产和供应业,2,0,15,2,19
食品制造业,2,1,11,5,19
生态保护和环境治理业,2,0,14,1,17
综合,0,0,14,3,17
专业技术服务业,8,0,9,0,17
有色金属矿采选业,0,0,16,1,17
装卸搬运和仓储业,0,0,10,2,12
渔业,0,0,10,2,12
广播、电视、电影和录音制作业,1,0,10,0,11
农业,3,0,8,0,11
木材加工和木、竹、藤、棕、草制品业,4,0,6,0,10
造纸和纸制品业,3,0,7,0,10
黑色金属冶炼和压延加工业,3,0,6,1,10
石油、煤炭及其他燃料加工业,1,0,9,0,10
新闻和出版业,0,0,10,0,10
煤炭开采和洗选业,1,3,4,1,9
开采专业及辅助性活动,1,0,8,0,9
仪器仪表制造业,0,0,9,0,9
废弃资源综合利用业,0,0,6,1,7
租赁业,3,0,4,0,7
化学纤维制造业,0,0,7,0,7
家具制造业,2,0,4,0,6
畜牧业,1,0,4,1,6
皮革、毛皮、羽毛及其制品和制鞋业,2,0,4,0,6
文化艺术业,0,0,5,1,6
道路运输业,0,0,5,0,5
水的生产和供应业,0,0,4,0,4
印刷和记录媒介复制业,0,0,4,0,4
水上运输业,0,0,2,1,3
多式联运和运输代理业,0,0,2,1,3
黑色金属矿采选业,0,0,3,0,3
燃气生产和供应业,0,0,2,0,2
林业,1,0,1,0,2
教育,0,0,2,0,2
卫生,0,0,1,1,2
公共设施管理业,0,0,2,0,2
航空运输业,0,0,1,0,1
文教、工美、体育和娱乐用品制造业,0,0,1,0,1
铁路运输业,0,0,1,0,1
住宿业,0,0,1,0,1
