Stkcd,year
001219,1999
600339,2000
600339,2001
001219,2002
600339,2002
600339,2003
600805,2003
600339,2004
600556,2004
600805,2004
000409,2005
000544,2005
000590,2005
600071,2005
600247,2005
600339,2005
600556,2005
600805,2005
000409,2006
000544,2006
000590,2006
000972,2006
600071,2006
600247,2006
600250,2006
600339,2006
600556,2006
600805,2006
000409,2007
000544,2007
000590,2007
000972,2007
300104,2007
300117,2007
600186,2007
600247,2007
600250,2007
600339,2007
600800,2007
600805,2007
000409,2008
000544,2008
000590,2008
000632,2008
000960,2008
000972,2008
300104,2008
300117,2008
600076,2008
600186,2008
600247,2008
600250,2008
600339,2008
600800,2008
600805,2008
000409,2009
000511,2009
000544,2009
000590,2009
000632,2009
000960,2009
000972,2009
002316,2009
300104,2009
300117,2009
600076,2009
600247,2009
600250,2009
600339,2009
600800,2009
600805,2009
600822,2009
000409,2010
000511,2010
000544,2010
000594,2010
000632,2010
000691,2010
000716,2010
000719,2010
000839,2010
000960,2010
000972,2010
002008,2010
002240,2010
002316,2010
002363,2010
002608,2010
002715,2010
300104,2010
300117,2010
300121,2010
300139,2010
300167,2010
300277,2010
600076,2010
600128,2010
600247,2010
600250,2010
600287,2010
600339,2010
600800,2010
600822,2010
000409,2011
000509,2011
000511,2011
000544,2011
000594,2011
000632,2011
000691,2011
000719,2011
000839,2011
000955,2011
000960,2011
000972,2011
002181,2011
002240,2011
002316,2011
002422,2011
002513,2011
002569,2011
002608,2011
002715,2011
300042,2011
300086,2011
300104,2011
300117,2011
300139,2011
300167,2011
300237,2011
300277,2011
300372,2011
600076,2011
600078,2011
600128,2011
600247,2011
600250,2011
600287,2011
600293,2011
600339,2011
600399,2011
600485,2011
600530,2011
600598,2011
600633,2011
600656,2011
600800,2011
600822,2011
000007,2012
000409,2012
000506,2012
000509,2012
000511,2012
000544,2012
000594,2012
000611,2012
000615,2012
000632,2012
000659,2012
000668,2012
000691,2012
000719,2012
000760,2012
000839,2012
000955,2012
000960,2012
000972,2012
000982,2012
002181,2012
002240,2012
002316,2012
002506,2012
002513,2012
002551,2012
002569,2012
002669,2012
002715,2012
002776,2012
002781,2012
300042,2012
300086,2012
300104,2012
300117,2012
300122,2012
300139,2012
300167,2012
300252,2012
300277,2012
300311,2012
300372,2012
300495,2012
600076,2012
600078,2012
600128,2012
600146,2012
600186,2012
600211,2012
600247,2012
600287,2012
600293,2012
600339,2012
600376,2012
600399,2012
600421,2012
600469,2012
600485,2012
600530,2012
600575,2012
600598,2012
600656,2012
600800,2012
600804,2012
600822,2012
601558,2012
000007,2013
000038,2013
000403,2013
000409,2013
000504,2013
000511,2013
000544,2013
000615,2013
000622,2013
000632,2013
000668,2013
000690,2013
000691,2013
000701,2013
000716,2013
000719,2013
000762,2013
000797,2013
000820,2013
000839,2013
000892,2013
000922,2013
000960,2013
000982,2013
002132,2013
002181,2013
002219,2013
002240,2013
002306,2013
002316,2013
002336,2013
002359,2013
002377,2013
002461,2013
002473,2013
002477,2013
002506,2013
002513,2013
002569,2013
002608,2013
002638,2013
002659,2013
002667,2013
002715,2013
002776,2013
002781,2013
300029,2013
300042,2013
300071,2013
300104,2013
300117,2013
300139,2013
300164,2013
300167,2013
300198,2013
300252,2013
300273,2013
300277,2013
300311,2013
300355,2013
300372,2013
300495,2013
300505,2013
300654,2013
600063,2013
600076,2013
600078,2013
600128,2013
600143,2013
600145,2013
600146,2013
600211,2013
600247,2013
600287,2013
600293,2013
600321,2013
600339,2013
600368,2013
600399,2013
600401,2013
600421,2013
600469,2013
600485,2013
600530,2013
600575,2013
600587,2013
600594,2013
600598,2013
600624,2013
600626,2013
600634,2013
600654,2013
600656,2013
600671,2013
600677,2013
600680,2013
600686,2013
600733,2013
600800,2013
600803,2013
600804,2013
600806,2013
600811,2013
600822,2013
600966,2013
601001,2013
601233,2013
601777,2013
601800,2013
000007,2014
000010,2014
000012,2014
000403,2014
000409,2014
000498,2014
000509,2014
000525,2014
000544,2014
000573,2014
000605,2014
000615,2014
000629,2014
000632,2014
000637,2014
000688,2014
000690,2014
000691,2014
000693,2014
000716,2014
000719,2014
000755,2014
000760,2014
000762,2014
000788,2014
000796,2014
000797,2014
000802,2014
000803,2014
000820,2014
000839,2014
000869,2014
000886,2014
000892,2014
000922,2014
000960,2014
000982,2014
000983,2014
002005,2014
002015,2014
002052,2014
002072,2014
002089,2014
002132,2014
002157,2014
002164,2014
002167,2014
002181,2014
002199,2014
002203,2014
002228,2014
002232,2014
002237,2014
002263,2014
002264,2014
002279,2014
002288,2014
002306,2014
002312,2014
002316,2014
002330,2014
002336,2014
002359,2014
002373,2014
002417,2014
002420,2014
002432,2014
002454,2014
002456,2014
002460,2014
002473,2014
002506,2014
002513,2014
002535,2014
002549,2014
002569,2014
002608,2014
002628,2014
002663,2014
002667,2014
002684,2014
002714,2014
002715,2014
002721,2014
002776,2014
002781,2014
300014,2014
300023,2014
300028,2014
300029,2014
300042,2014
300052,2014
300058,2014
300071,2014
300074,2014
300094,2014
300104,2014
300117,2014
300139,2014
300167,2014
300189,2014
300208,2014
300237,2014
300247,2014
300248,2014
300269,2014
300310,2014
300311,2014
